Title,Review,Date,Rating
Refreshingly Fun,"Parenthetically I don't know anything about the source material in particular or anime in general.

The series is compulsively watchable for several reasons.

The first is the world-building. The setting is fantastical but the show makes it effortlessly understandable and relatable.

The second is the characters. The characters here are mostly tropes but they're so likeable and well-realized by the performers that you can't help getting invested in them.

The third is the sense of light-hearted positivity that pervades the series. It touches on some pretty dark issues but the show and its irrepressibly-optimistic protagonist always have a positive outlook. People's faith in one another is actually rewarded rather than being mocked or denigrated. Image that in 2023.",16 September 2023,8
Best show of the year!!,"Initially I was apprehensive because of anime adaptation productions for live action. I've been watching and reading onepiece for 20 years and this series so represents the spirit of this work that I love so much. I was very happy with the result!

And I have to say , Honestly, the best live action anime adaptation I've ever seen. This is coming from someone who loves One Piece. So, I was looking for reasons to criticise it, and there are some flaws.. but there were also things this series improved on the original. Overall, I you all should watch it , totally recommend it. Its a great! Lets go season 2!!!!",31 August 2023,10
"I was hesitant to start, but then couldn't stop","So I binged this in one day. I had no idea it was a manga until after I had watched it, but still enjoyed the concept. I can see how it would have been based off a manga now.

It was silly and fun, but with adult style violence. I would recommend this over and over.

The acting was brilliant, the costumes were brilliant and the concept is brilliant. It's so nice to have a lighthearted show on Netflix. I have been getting over the amount of drama/FBI type shows.

I don't think I have any faults when it comes to this show.

Get comfy and be prepared to want to watch the next episode every time.

Bring on season 2, 3, 4 and 5.",6 September 2023,10
The live action curse breaker,"Despite the negative reviews from some people who judged the series before watching it, I decided to give it a chance and watch the first episode. I was really surprised by how well they adapted the story from the manga, even though they made some changes to the plot. The changes did not affect the overall narrative and actually added some depth and complexity to the characters and the setting. The production value was impressive, with realistic costumes, props, special effects and PRACTICAL SETS. It felt like I was watching a movie rather than a TV show.

The first episode left me wanting more and curious about how the series will progress. I hope they will keep up the quality and the faithfulness to the source material.",31 August 2023,9
Already looking forward to next season,"One Piece has definitely lived up to all the hype surrounding it. One Piece is based off the anime show of the same name. It's about a guy named Monkey D. Luffy and his pirate crew. They explore the fantasy world of oceans and exotic islands in the search for the worlds ultimate treasure and the right to be called the Pirate King. Yes, it sounds like a kiddy version of Pirates of the Caribbean but it's not. As you can see it's gotten great ratings from fans and critics alike with a 8.5 score here and a 83% on Rotten Tomatoes. This is definitely going to be one of Netflix's next big shows. I just finished season one and already looking forward to next season.",16 September 2023,8
"Campy, silly, and so much fun","I've never watched the anime or read the manga before, and honestly, wasn't fully sold by the trailer, but after I started watching it, I was hooked. I did not expect to enjoy this show as much as I did. The actors were well cast and the story was fun and compelling. You really get to like the characters, both heroes and villains, and want to see what happens to them. There's also a lot of heart to the story that goes beyond cliches. It was probably tricky to adapt an anime series into a live action format, and I feel it struck the right balance, and succeeded where other adaptations didn't.

Now I'm going to have to start watching the anime series, and it's a good thing Netflix has them.

Netflix had better renew this for more seasons or I'm canceling my subscription. After I watch the anime series, though.",2 September 2023,9
Guys It's Really Gooood ⚡,"I am Biggest One Piece Anime Fan . Today I watch the Live Action Of One Piece And It's Really Good Comparing to Anime's Live Action Adaptations. I want the Netflix to continue the Series. Please Netflix Please Don't End it . We are Eagerly Waiting for the Next Season Of One Piece Live Action. Thank You so Much for this Great Anime Live Action Adaptation.

And Here we comes to the Casting .I really Liked the Casting .But one drawback is the Emotional connect to the series is very low because In the Anime We connect to the characters like Zoro sanji and luffy but here the emotional connect is not available but anyways I liked the Series and Waiting for the Next season 🖖",31 August 2023,10
Are you kidding me?,"I've never seen the anime so I had zero context about it. I've been on the side where you've seen/read the original source material and hated the live-action adaptation. So I did start this show with a bit of a bias towards the expectation that it's not going to be great. It took a few minutes in the beginning to get used to it but man I don't remember the last show/movie that had my eyes glued to the screen like this.

I mean I can understand if the anime fans find some issues in it because I've kinda been there (everyone loved TLOU TV show but I couldn't not compare it to the games. I noticed so many minute details about the behavior and expressions of some characters in the TV adaptation that made me think things like ""that's not what Joel would do""). So I can't fault the people who watched the Anime for not liking some bits. But being a neutral, I found this show exceptionally entertaining to the point that I just started ignoring the minor flaws (like it doesn't have the best CGI or it does have a couple of cheesy dialogs) . It has to be 10/10 for me because has everything:
Incredible characters and character development.



Surprisingly, it has depth and makes you think. It's far from just a shallow copy-paste of the source material.



Funny
Thrilling
Mysterious
Wholesome.",6 September 2023,10
A fever dream One Piece but still very One Piece in its core,"Warnings: Blood here and there, one nudity scene but nothing full frontal, self harm

For the nonfans of One Piece or anime: The source material is goofy and not truly based on any Earth history. The show leans into it so expect some hokey ridiculous looks. Costumes will have ranges of modern looks to 18th century etc. Some characters might even give you uncanny valley because of the absurdity. Think like The Mask, Scooby-Doo LA, Lazy Town, or Series of Unfortunate Events.

The fights aren't grounded but more akin to Wuxia or Wirefu. If you've watched shows like Kung Fu Hustle, Shaolin Soccer, Crouching Tiger Hidden Dragon, RRR, or Shang Chi then that's similar to it. You get humans jumping really high. Running on walls in a 90 degree angle. Spinning mid air etc. Basically don't think of the rules of Earth physics.

Don't be fooled by what you just see however, the story and themes gets serious too. One Piece tackles themes like oppression, slavery, racism, family loss etc...It's one of the best world building story that's 25 years in the making. And the show takes advantage of that benefit of hindsight.

Overall it's an uplifting yet dramatic story in an inventive world that runs towards optimism. Luffy (Inaki Godoy) is a force of nature. He affects and inspires people around him. The Strawhat crew- I do not exaggerate when I say- is one of the best Found Family there is.

If you like absurdism fantasy action adventure do check this out!

For the fans and my general review: ""Stop counting only those things you have lost! What is gone, is gone. So ask yourself this. What is there that still remains to you?"" --Oda

One has to remember this show is not a recreation. It's an adaptation. There's also no such thing as 1-1 adaptation. Game of Thrones had changes. Harry Potter had changes. Lord of the Rings had changes. But these became loved because they succeeded in translating the heart of the story and essense of the characters. As a fellow fan for over 10 years...I believe One Piece Live Action did it too even with all the changes. The Manga and Anime will always be with us and now we just have additional content through the live action. I'd say it's about 70% faithful to how the manga progresses? Like if you remove what they added and just compare the core of the plotlines it'll be similar.

Anyway, I followed the live action news, got into the production perspective and I'm happy that these people are in love with One Piece even more than I am. Their decision not to ground too much in reality is so refreshing. I'm so tired of live action adaptations always looking so gray and gritty!! Realistic but not grounded by realism is what we need!! That's how you lose magic when you limit yourself in always keeping it ""real"". Embrace the absurd and goofy. Look at it with a child-like wonder filter. Get into that Romantic adventure. Take in the corny and cheesy stuff.

Overall this show is far from perfect. I'd say as an adaptation it's about 7.5/10 but I'm rating it a 9 because I enjoyed it for what it is and it greatly entertained me as a show. There's plenty I can nitpick from especially since they didn't include some scenes that I personally love but I can forgive the negatives over the many positives it has. This show is truly one made by fans and you can feel that from the costumes, the world, the characters...down to the easter eggs they sprinkled in. I truly enjoyed it as a whole. It's like a fever dream One Piece but still very One Piece in its core.",31 August 2023,9
People need to stop comparing...,"Evaluate the show on its own merits rather than drawing comparisons with the anime series. The show presents a unique interpretation of the idea, rendering direct comparisons illogical and potentially distorting the accuracy of other reviews.

Regarding the show itself, it undeniably offers an impressive viewing experience. It ranks among the most captivating series I've encountered recently. The action sequences are skillfully executed, and the integration of comedy is seamless, resulting in a flawless amalgamation.

It's perplexing why certain individuals have awarded the show a low rating. From my perspective, the show possesses its own distinctive charm, and I particularly appreciate the implementation of CGI and the cast's performances. With the hope of a second season, it's important to acknowledge that the show diverges from the original anime but maintains its own intrinsic value. In my strong recommendation, I encourage you to give it a watch.",31 August 2023,10
"Being a pirate is the best thing!You have the wind in your back, the salty sea air, your loyal crew by your side.You never know what's in the horizon.Its all about being free!","Epic live adaptation of the masterpiece by the brilliant mind of Eiichiro Oda, stands as a beacon of excellence in the realm of anime and manga. This sprawling tale of adventure, camaraderie, and unyielding dreams has left an indelible mark on the hearts of fans worldwide. As a devoted follower of the Straw Hat Pirates and their riveting journey, I find it impossible to convey the sheer brilliance of One Piece in mere words, but I'll endeavor to capture the essence of its magic.

At its core, this series is a celebration of the human spirit and the pursuit of one's dreams. The protagonist, Monkey D. Luffy, embodies the relentless pursuit of freedom and adventure. His infectious enthusiasm and unwavering determination set the tone for the entire series. Luffy's journey, from a wide-eyed dreamer with a straw hat to a formidable force to be reckoned with, is a testament to the transformative power of resilience and friendship.

The strength of One Piece lies not only in its charismatic lead but also in the ensemble cast that forms the Straw Hat crew. Each member, from the brooding swordsman Roronoa Zoro to the navigating wizard Nami, contributes a unique flavor to the narrative. Oda's genius lies in his ability to weave individual character arcs seamlessly into the overarching plot, creating a tapestry of stories that resonate with the audience on a deeply personal level. As a fan, witnessing the growth, struggles, and triumphs of these characters is a profoundly moving experience.

The world-building in the drama is nothing short of extraordinary. Oda has constructed a vast and intricately connected universe that spans across seas, islands, and cultures. The Grand Line, the New World, and the mysteries of the One Piece itself serve as a backdrop to the adventures of the Straw Hat Pirates. The richness of this world is a testament to Oda's unparalleled creativity, and it invites fans to immerse themselves in a realm where every island holds a new mystery and every sea promises untold dangers.

The narrative unfolds like a carefully orchestrated symphony, with arcs that range from heart-wrenching to hilariously absurd. From every emotional rollercoaster, each saga leaves an indelible mark on the viewer's soul. Oda's ability to balance intense action, emotional depth, and humor is a testament to his storytelling prowess. The layers of intrigue, alliances, and rivalries add a complexity that keeps fans eagerly anticipating the next twist in the tale.

Beyond the action-packed sequences and intricate plotlines, One Piece carries profound themes that resonate universally. Friendship, freedom, justice, and the pursuit of one's dreams are recurring motifs that give the series a depth beyond its entertaining surface. The camaraderie among the Straw Hat crew, forged through shared hardships and victories, is a poignant reminder of the strength found in genuine connections. The series doesn't shy away from addressing societal issues and moral quandaries, adding a layer of thought-provoking substance that elevates it to a higher plane.

Visually, One Piece is a feast for the eyes. Awesome effects, fight choreography and expressive characters, brings the world to life with vibrant energy. The action sequences are a ballet of dynamic movements, and the emotional beats are conveyed with a subtlety that speaks volumes. Oda's attention to detail, whether in designing mythical creatures or crafting the intricate architecture of islands, enhances the immersive experience for fans.

In conclusion, One Piece is not merely a manga or anime; it's a cultural phenomenon that has touched the hearts of millions. Eiichiro Oda's opus is a celebration of the human spirit, a testament to the power of dreams, and a journey that transcends the boundaries of fiction. For those who have embarked on this grand adventure, this series is more than a story - it's a treasure trove of emotions, life lessons, and a legacy that will endure for generations to come.",1 October 2023,10
What a surprise!!,"It was awesome and it did make me feel the emotions they were trying to portray. Overall it was great and it almost blew my socks off and the experience was very enjoyable. As an anime fan I do not know why they had to cut Hachi though. That is the only change I disagree with, even though I understand the CGI would have been rather difficult to nail. My favorite portrayal was Nami's, she was the one who was the most attached to the crew and made me believe they cared for each other the most. Maybe It's different than the original but sooo addictive and amazing I had a lot of fun watching this live adaptation ,I hope this gets a second season!",31 August 2023,10
Perfect,Having watched a good portion of One Piece anime this show is exactly what you'd hope for! The outrageousness of the anime is truly on display in this live action and you wouldn't want it any other way. My sold issue with this show and it's not even the shows fault but the limited amount of episodes for season 1 is truly disappointing. So many of this new seasons are going to 8 episodes or so which is the companies fault. There are numerous shows that would have benefited so much if they could've had a few more episodes and for a anime show like this it DESERVES to have had more than just 8 to get started. Netflix scored on a perfection live action but burned us on limiting season 1 to only 8 episodes.,4 September 2023,9
Glad I missed work to watch this 8 hour epic that breaks the mold,"I did not plan this, I was just at work, upset what was going on I ended up leaving early. Got home was wondering if I did the right thing, I felt pretty sure at the time but after reading a few upset messages I was unsure. Sooo I needed something to keep my mind off that and remembered this show. It didn't really sound great to be honest, the trailers looked alright.

I wasn't prepared to watch the first straight up masterpiece of a show that says 'Hell yea, Anime can work"". Its comedy is effective, its drama very hitting, its action was great. It also surprised me a lot. Blood? Death? Drinking? Cursing? Smoking? Wow, I mean it is in the manga (Death not so much) but WOW. They actually took all the silly themes, costumes, and set pieces incredible serious. It was also able to adapt the manga incredibly well without losing much. It was also very well paced, I was barely ever bored. It also had a great message, follow your dreams, don't let others beat you down and stand up for what you think is right, So ya, it did make me feel a lot better about my work situation.

Lost 8 hours of work to watch 8 hours of this and I'm feeling very satisfied before I'm off to bed.",31 August 2023,10
WE ARE ONE,"GREAT ADAPTATION!

As an old-school fan (since 2006) I can say that this was made with love for old fans and new fans!

Welcome to the grand line! Next stop! The new world!

I want season 2, 3, 4, 5! Etc Make it happen Netflix!

You should be working on Chopper, looking for Robin, Ace, and Vivi...

The cast is great, and the locations and CGI are on point!

The small changes are OK, and it does not feel like forced.

The chemistry is natural, and the scripts are well made.... as Oda-san said ""This is good and can be better"", I will watch this several times and with the different dubs! ENJOY NAKAMAS!",31 August 2023,10
One of the Most Creative & Original Shows EVER. A++++,"This is what Hollywood is suppose to be about. This show stands on talent - Talent from the writers in transferring from the original Anime to live actors & actresses. The direction is outstanding. A show that is FUN to watch with special effects done at the right time, not just thrown in because it can be. A show that Shanghai's you and keeps you. Adventure, Action, Drama, Comedy, and Mystery all rolled into one. No need for sex, cursing, or trying too hard to be funny, it's just PURE TALENT all the way around. A++++ in my opinion. I hope Netflix keeps this going until they find the One Piece.",5 September 2023,10
A new genre is born,"I'm in love. From the first episode I was instantly hooked. And it never let go. I spent 90% of the runtime with a smile on my face. It's visually stimulating with great action, creative fights, and amazing music (Buggy's theme music omg). I'm fully attached to ALL of the characters.

Most of the cast does a great job. But the one who fittingly drives the show is lead actor Iñaki Godoy. I've never seen him before, but he brings such exuberance to the role. You can't help but root for him and share in his emotions.

Speaking of emotions, this show evokes them like it's nothing. The many heartfelt moments hit hard, sometimes with only one episode of buildup. I teared up multiple times, both sad and happy.

For reference, I've never seen the One Piece anime and am not big into anime in general. But I watch tons of movies and TV shows, and usually check out any live-action anime adaptations. They are all, how do I put it, muy garbo (Dragonball Evolution smh). So I was absolutely stunned at how well they translated this.

With the exception of not being animation, it fully feels like I'm watching anime. It does something for the first time: bringing the most endearing aspects of anime into live-action. So many parts feel like they're done exactly how they were in the manga/anime. Like announcing the name of an attack or Luffy constantly smiling.

These parts would feel cheesy if the rest of the show was more like traditional Hollywood. But it's not. It's anime through and through. It feels like a new genre. Producers need to take note at how good it can be if done right. I'm confident that whoever made this (creators/writers/directors) love anime and love One Piece. It really shows.

I love this season. To say I can't wait for more would be a severe understatement. And if they keep this level of quality, I can see myself watching this for 10+ seasons. I really hope they don't wait too long in between. I need more now.

(1 viewing, 9/6/2023)",7 September 2023,9
In disbelieve,"How tf is this really any good. Never would've thought this is possible. One episode in and I'll hope they keep up this high standard. I really enjoy the throwback in my early teens. Actually I even want to try catching up with the anime after getting a fresh taste of one piece. They did an awesome job catching the vibe of this saga. I mean it has the cool characters, serious acting of those, the important goofiness, good costumes and I just hope they can keep up with that and continue to thrive the thrill in the story. Thank you netflix for realising this one and breaking the rules of live adaptions. Did I mention that they found a real good fitting cast?",31 August 2023,9
Good Adaptation,"One Piece is one heck of an anime series that eludes anyone adapting to live action. The amount of special effects would be ridiculous. With the rubbery moves and silliness, it's an expensive challenge to make.

Netflix' One Piece under the Japanese producers' watch eyes is a good adaptation. It might not be perfect, but from the storyline, casting and atory telling, it is One Piece.

The directors took 1-2 steps backwards in term of CGI is a wise decision. Season 1 focused on the main crew recruitment was pretty much exactly what initial One Piece episodes are.

Now that the main crew had been gathered, the series would face a much more difficult challenges due to the bigger crew recruitments and enemies.

The casting was impressive, each Straw Hat Pirate member was matched accordingly that when you're an old fan of One Piece, you woukd recognize them in an instant. While if you're a new audience, you'll enjoy how tight the Straw Hat Pirate crew was illustrated.

Good job, hopefully the 2nd season would up the ante.",10 September 2023,8
DEFINITELY RECOMMEND,"I've seen many Live Adaptations including of some famous Anime like AOT, cowboy, Death Note, bleach..... I'm not feeling proud to say 99% Live Adaptations failed including above and till now I had one name near perfect adaptation of manga(Alice in Borderland) but now I'm proud to say One Piece did pretty well with it's LA especially when this Anime has so wierd art style and yet did hell of a Live Adaptation. Idk but other Anime should also get some from this one in order to make decent LA in future. For this one, it's must watch to guys who really enjoy JOURNEY, ADVENTURE, EMOTIONAL STORYLINE, WORLD BUILDING, ACTION, DEPTH, BACKSTORIES, MYSTERIES.",31 August 2023,10
What an absolute frenetic joy this show is,"Even with no knowledge of the original anime or manga, even going in pre-primed to cynically dump on it, this won me over within minutes.

Why? Because everyone involved, the writers, directors, set dressers, costumers, choreographers, and the title stars to the briefest of guest spot actors, are absolutely committed to it. None of it makes any sense, the milieu is bonkers, the close-in face-focused cinematography is deranged, but none of that matters because this show is just so much fun. Big, bold, unalloyed, unapologetic, basic, old fashioned fun.

Everything that I thought would irk me about it, like the nonsensical premise, the manic lead, the cocky independent grrlboss Nami, the pantomime villains, all of it works out, by careful design.

I tried, I really tried, to not enjoy it, but it just powered through and delivered scenes and a story and characters that are so fundamentally satisfying that I went from tolerance, to enjoyment to a fan within the first two densely packed episodes. And it only got better from there, with backstory and development and an absolutely astonishing character payoff in episode 7 that left me in tears at the pitch perfect writing and performances.

The nature of Monkey D. Luffy is... irrepressible.",9 September 2023,9
Magnificent Tv Series driven by awesome character 😎😎! !,"Accidentally came across this tv series. First few minutes caught my interest. Ended up binge watching it in two days. The reason why this is an awesome tv series is because it has almost everything one needs to enjoy it fully. The characters, the story, the setting, the directions, the humour, the action. This is the whole nine yard.

There are many many awesome 😎 characters that are memorable. Even after you finished watching it you feel like you needed it more. My personal favourite is Mihawk Dracule, Zoro, and the clown. It doesn't mean others are not great. I just liked them more.

I believe we will get to see more of them in Season two.",14 September 2023,9
Sets the standard for live-action adaptations of manga and anime by staying true to the spirt of its beloved source material,"Set in a world of massive oceans dotted with various islands overseen by the power of the World Government, the series takes place in the midst of the Great Pirate Era started when King of the Pirates, Gold Roger (Michael Dorman) was executed but not before telling several witnesses all the treasure he'd collected known as the One Piece was anyone's to find which inspired countless pirates to take to the seas in search of it. One such aspiring pirate, Monkey D. Luffy (Inaki Godoy), who attained the attributes of rubber on his body after eating a Devil Fruit, sets off to the seas intent on becoming King of the Pirates by finding the One Piece and assembles a crew consisting of thief and navigator Nami (Emily Rudd), swordsman Roronoa Zoro (Mackenyu), boastful yet overly cautious sniper Usopp (Jacob Romero Gibson), and fleet footed chef Sanji (Taz Skylar) to help him set sail for adventure as they face off against rival pirates as well as the World Government's Marines.

One Piece is a live-action adaptation of the shonen manga of the same name by Eiichiro Oda published since 1997 that has also served as the basis for the long running anime series that like its manga counterpart continues on to this day. Given the popularity of the franchise the worldover, development began in 2017 on a co-production with publisher Shueisha and Tomorrow Studios with the rights eventually picked up by Netflix. Given the spotty history of western adaptations of anime and manga properties there was understandably some concern from longtime fans and newcomers that the production staff and stars did a solid job of dispelling with a lot of transparency with the behind the scenes work and casting as well as Oda's personal involvement in the show. I'm pleased to say after all the buildup, the end result is about as pitch perfect as you can get that while not a 1:1 adaptation of the anime or manga still adheres to the spirit and characters in a manner that sets the bar for similar adaptations.

To start off, I am a fan of the series (though a relative newcomer) having watched roughly 380 episodes up to the conclusion of the Thriller Bark arc (at the time of this writing at least). One Piece remains one of the only long running serialized anime series I've been heavily engrossed in and still am and while I may not know as much as those who've followed the series from their 4Kids dub days (sorry for the reminder) I do have a reasonably firm grasp of the characters and stories including the roughly 50+ episodes of the East Blue arc this first season adapts. On a purely visual level, One Piece looks fantastic. While the series does have to scale back certain elements in order to adapt to live-action, the series finds smart workarounds and it never feels like the series is restrained by its budget as you still get that strong sense of worldbuilding and character you got from both the manga and the anime. The cast in particular deserve a ton of praise and they feel about as close to the real life embodiment of these larger than life characters as you could possible get. Inaki Godoy is fantastic as Luffy and he captures both the characters high energy and enthusiasm while also showing a natural penchant for that slightly goofy style of humor while also being able to move into more intense moments when the situation calls for it. The rest of the cast such as Rudd's Nami, Mackenyu's Zoro, Gibson's Usopp, and Taz Skylar's Sanji are no less impressive and have fantastic chemistry with each other.

The writing on the show is also very strong and this was definitely an area I was concerned about because when I learned they were compressing about 50 episodes worth of story into 8 one hour episodes I'll admit I was skeptical (even being aware of the ""tricks"" shonen anime indulge in to stretch runtimes and arcs). But the writers deserve props for adapting the material while also remixing certain elements so while it's not a full 1:1 recreation of the manga or anime, it still feels true to the characters and themes and like a ""remix"" made by those who like and understand the material. Even though this means taking certain plot points that weren't revealed until, the 250th episode mark in the show, they find a solid way of integrating it into the story with some particularly welcome expansion for Koby (Morgan Davies) and his relationship with Garp (Vincent Regan) and Helmeppo (Aidan Scott).

I really enjoyed One Piece and it left me really optimistic about the series going forward from here. While I'll admit there's probably some lingering skepticism on how they'll handle certain elements in the future (especially Tony Tony Chopper and other Zoan Type Devil Fruit users) the creative team and cast have done an excellent enough job that I'm confident they can do it.",2 September 2023,9
Netflix's One Piece: A Good Production That's Not My Style,"I've never seen the original anime, even though I like fantasy and sci-fi genres.

But I couldn't get into the comedy tone and the overall feel of this live-action adaptation, even after watching more than half of the season. It just didn't appeal to me.

I don't want to be harsh on this production, because it's well-done. It has heart, likable actors, and good quality overall. And I do think that Netflix has a potential winner here, which many fans of the anime, and maybe some newcomers, will love and applaud.

But I'm someone who prefers content that's more serious, even if just a bit. The tone of this series is too nonsensical for my taste. It's typical of certain animes, which I never enjoyed. But many others did.

If you like hyperbolic and juvenile narratives, this could be for you. Otherwise, give it a try for the first 3 episodes. If you're still not hooked, it's probably not worth the binge.",31 August 2023,7
